                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1587,                0.75377,                 1.0153,                 0.2733,                0.20149,                0.23255,                0.15063,                0.89589,                0.57639,                0.96567,                0.00307,                0.00307,                0.00307
                     37,                 1.1558,                0.74819,                  1.013,                0.27357,                0.20182,                0.23288,                0.15095,                 0.8938,                0.57428,                0.96428,               0.002872,               0.002872,               0.002872
                     38,                 1.1475,                0.74377,                 1.0121,                0.27374,                 0.2022,                0.23318,                0.15125,                0.89183,                 0.5723,                0.96307,               0.002674,               0.002674,               0.002674
                     39,                 1.1423,                 0.7375,                  1.009,                0.27367,                0.20259,                0.23344,                0.15152,                   0.89,                0.57032,                0.96185,               0.002476,               0.002476,               0.002476
                     40,                 1.1382,                0.73422,                  1.008,                0.27374,                0.20285,                0.23379,                0.15185,                 0.8879,                0.56822,                0.96049,               0.002278,               0.002278,               0.002278
                     41,                  1.127,                0.68597,                0.97726,                0.27377,                0.20316,                0.23412,                0.15221,                0.88528,                0.56586,                0.95922,                0.00208,                0.00208,                0.00208
                     42,                 1.1174,                0.67801,                0.97418,                0.27388,                 0.2034,                0.23445,                0.15255,                0.88231,                0.56333,                0.95765,               0.001882,               0.001882,               0.001882
                     43,                 1.1093,                0.67074,                0.97042,                0.27391,                0.20375,                0.23476,                0.15289,                0.87946,                0.56092,                0.95613,               0.001684,               0.001684,               0.001684
                     44,                 1.1026,                0.66359,                0.96842,                0.27443,                0.20392,                0.23511,                0.15327,                0.87664,                0.55856,                0.95462,               0.001486,               0.001486,               0.001486
                     45,                 1.0952,                0.65818,                 0.9655,                0.27506,                0.20394,                0.23545,                0.15364,                0.87391,                0.55623,                0.95307,               0.001288,               0.001288,               0.001288
                     46,                 1.0894,                0.65362,                0.96371,                0.27529,                0.20412,                0.23575,                0.15398,                 0.8713,                0.55397,                0.95156,                0.00109,                0.00109,                0.00109
                     47,                 1.0845,                0.64758,                0.96195,                 0.2757,                0.20436,                0.23607,                0.15431,                0.86882,                0.55179,                0.95013,               0.000892,               0.000892,               0.000892
                     48,                 1.0763,                0.64069,                 0.9579,                0.27589,                 0.2046,                0.23639,                0.15465,                0.86631,                0.54954,                0.94869,               0.000694,               0.000694,               0.000694
                     49,                 1.0723,                0.63467,                0.95688,                 0.2761,                0.20482,                 0.2367,                  0.155,                0.86393,                 0.5473,                0.94737,               0.000496,               0.000496,               0.000496
                     50,                 1.0662,                0.63059,                0.95472,                0.27666,                0.20493,                0.23707,                0.15532,                0.86171,                0.54516,                0.94606,               0.000298,               0.000298,               0.000298
